Fecha (UTC),Latitud [º],Longitud [º],Profundidad [km],Magnitud [*]
2015-09-24 16:13:25,-30.7,-71.4,50,5.4
2015-09-26 02:51:18,-30.79,-71.42,40,6.3
2015-09-26 04:53:59,-30.72,-71.39,50,4.4
2015-09-26 08:44:58,-30.82,-71.41,50,4.1
2015-09-27 08:28:36,-30.73,-71.47,43,4.6
2015-09-27 22:53:06,-30.91,-71.44,43,4.4
2015-09-29 18:59:25,-31.79,-71.38,29,4.2
2015-10-01 02:06:22,-30.72,-71.43,48,4.8
2015-10-01 09:28:58,-31.76,-71.35,48,4
2015-10-03 06:26:56,-30.37,-71.37,34,6
2015-10-05 16:33:27,-30.35,-71.47,29,6.1
2015-10-06 10:47:33,-31.52,-71.45,15,5.1
2015-10-06 22:48:33,-30.85,-71.46,46,5
2015-10-07 08:00:40,-30.3,-71.23,24,5.2
2015-10-09 06:08:55,-30.82,-71.42,48,4.7
2015-10-11 02:33:32,-30.71,-71.44,48,4.8
2015-10-11 21:23:44,-30.69,-71.41,48,4.3
2015-10-12 16:01:02,-30.76,-71.37,54,4.5
2015-10-19 17:57:02,-30.71,-71.43,50,4.5
2015-10-20 04:06:54,-30.76,-71.46,50,5
2015-10-20 10:06:13,-30.74,-71.44,50,5.2
2015-10-21 18:45:46,-30.83,-71.38,50,5
2015-10-24 21:24:44,-31.44,-71.43,51,5
2015-10-28 04:54:55,-30.85,-71.38,52,4.2
2015-11-05 01:28:45,-30.68,-71.39,41,4.3
2015-11-07 07:31:41,-30.87,-71.43,48,6.8
2015-11-07 10:31:19,-30.77,-71.36,47,4.9
2015-11-07 10:53:42,-30.72,-71.37,48,6
2015-11-07 15:16:56,-30.83,-71.4,49,4
2015-11-07 23:56:21,-30.71,-71.39,47,4.5
2015-11-10 12:58:37,-30.8,-71.46,57,5
2015-11-15 05:18:30,-30.71,-71.38,50,4
2015-11-17 13:16:27,-30.68,-71.36,54,4.5
2015-12-07 07:51:13,-31.13,-71.26,47,5.5
2015-12-17 04:18:59,-30.75,-71.39,53,4.4
2015-12-19 19:25:05,-30.64,-71.31,50,6
2015-12-20 22:51:37,-30.59,-71.25,62,4
2015-12-22 18:46:39,-30.8,-71.25,62,4.6
2015-12-25 15:11:50,-30.59,-71.29,60,4.5
2015-12-27 16:13:49,-30.63,-71.16,59,4.1
2016-01-21 06:07:02,-30.51,-71.22,57,4.4
2016-01-26 01:35:13,-30.72,-71.45,48,4.4
2016-02-24 19:10:01,-29.8,-71.48,38,4.7
2016-09-21 20:59:26,-30.17,-70.76,88,4.2
2016-02-16 16:50:51,-30.27,-71.27,59,4.2
2016-04-02 15:13:31,-29.85,-71.27,45,4.1
2016-05-06 08:51:32,-30.4,-71.24,59,4.3
2016-12-12 06:58:18,-29.76,-71.31,51,4.3
2016-03-03 13:47:15,-30.16,-71.44,32,4.3
2016-07-06 23:56:28,-30.38,-71.38,49,4.3
2016-02-24 21:59:31,-30.07,-71.05,70,4.3
2016-09-24 02:56:15,-29.99,-71.36,47,4.3
2016-01-19 07:08:48,-32.11,-71.22,83,4.1
2016-02-12 21:43:15,-31.72,-71.31,55,4.3
2016-02-24 02:32:58,-31.09,-71.36,45,4.4
2016-03-08 01:27:48,-31.77,-71.36,45,4.3
2016-03-20 20:01:54,-30.65,-71.33,44,4.4
2016-03-20 22:30:21,-31.72,-71.26,55,4.2
2016-03-23 00:37:59,-31.77,-71.43,49,4.9
2016-06-11 13:44:59,-30.36,-71.41,46,4.3
2016-07-04 00:13:03,-31.45,-71.47,48,4.4
2016-07-13 14:41:56,-30.64,-71.19,58,4.1
2016-07-14 06:48:59,-31.77,-71.44,45,4.2
2016-07-29 16:52:15,-31.59,-71.45,49,4.7
2016-10-07 01:27:52,-30.58,-70.91,77,4.1
2016-10-21 19:02:31,-30.75,-71.38,47,4.3
2016-10-23 06:09:17,-30.83,-71.36,42,4.4
2016-11-13 17:43:28,-31.71,-71.35,46,4.1
2016-11-29 04:34:29,-31.97,-70.94,87,4.5
2016-12-09 15:09:52,-31.37,-71.43,43,4.1
2016-12-18 16:25:11,-31.74,-71.25,54,4.1
2016-02-25 11:27:53,-30.77,-71.38,45,4.7
2016-03-09 09:40:45,-30.72,-71.4,42,4.4
2016-03-09 13:28:11,-30.44,-71.31,55,5.1
2016-03-25 08:03:20,-30.69,-71.43,51,4.8
2016-03-26 08:56:30,-30.73,-71.45,51,4.5
2016-04-04 23:12:17,-30.8,-71.32,41,4.6
2016-04-17 14:59:45,-30.75,-71.35,47,4.9
2016-04-18 04:25:59,-29.54,-70.99,50,4.5
2016-04-18 11:38:38,-31.77,-71.31,51,5.5
2016-05-19 18:28:34,-30.68,-71.34,31,4.4
2016-06-16 01:14:46,-30.65,-71.22,59,4.9
2016-06-17 03:48:39,-30.17,-71.44,20,4.8
2016-06-27 12:51:12,-31.77,-71.38,45,5.1
2016-07-01 22:20:08,-30.8,-71.44,52,4.9
2016-07-07 21:54:05,-30.57,-71.42,49,4.5
2016-07-11 13:27:36,-30.69,-71.27,35,5.1
2016-07-25 14:59:29,-30.8,-71.44,42,4.8
2016-08-10 08:20:17,-32.08,-71.25,86,4.9
2016-08-10 17:37:07,-30.75,-71.41,46,4.5
2016-08-31 16:02:06,-29.61,-70.68,94,4.1
2016-09-18 16:06:58,-30.66,-71.37,50,4.1
2016-10-05 06:17:25,-29.29,-70.31,108,4.6
2016-10-05 07:22:39,-30.71,-71.37,48,4.4
2016-10-07 23:59:29,-31.0,-71.3,65,4.9
2016-10-08 04:43:46,-29.43,-71.07,62,4.2
2016-10-09 01:02:40,-31.35,-70.66,122,4.3
2016-10-12 01:59:22,-30.69,-71.38,41,5
2016-11-23 16:43:33,-29.95,-71.38,47,4.5
2016-12-02 03:49:57,-30.92,-71.38,57,4.5
2016-12-12 01:40:25,-30.94,-71.34,52,5.3
2016-12-19 15:36:46,-30.8,-71.44,47,4.9
2017-01-09 00:40:35,-29.69,-71.18,45,4.1
2017-11-07 12:17:39,-29.46,-71.29,45,4.1
2017-01-13 13:43:03,-30.71,-71.39,48,4
2017-09-27 09:01:07,-29.43,-71.27,40,4.1
2017-03-31 19:10:14,-30.77,-71.4,47,4.2
2017-03-21 05:56:55,-31.12,-71.26,58,4
2017-05-01 19:43:47,-29.31,-70.33,84,4.1
2017-07-16 21:44:01,-30.27,-71.35,51,4
2017-07-26 10:40:21,-31.22,-71.31,59,4
2017-08-15 02:04:36,-31.66,-71.39,52,4
2017-09-06 05:45:35,-30.77,-71.35,44,4.2
2017-10-19 09:14:50,-30.63,-71.25,55,4.2
2017-10-29 22:58:58,-31.05,-71.36,68,4.6
2017-11-02 21:24:10,-30.93,-71.26,54,4.3
2017-01-01 03:25:38,-29.7,-71.19,47,4.4
2017-01-10 14:59:49,-31.34,-70.94,93,4.9
2017-01-19 12:01:50,-30.85,-71.37,47,5
2017-01-21 17:03:55,-30.64,-71.3,52,4.5
2017-01-23 11:21:56,-30.65,-71.26,44,4.2
2017-01-27 07:26:40,-30.96,-71.4,55,4.8
2017-02-16 00:19:20,-30.05,-71.3,54,4.6
